Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;30/12/2024;18:20:00;121.715;121.725;121.575;121.620;589.369.017,00;24.228
WINFUT;30/12/2024;18:10:00;121.565;121.735;121.520;121.715;1.639.577.575,00;67.414
WINFUT;30/12/2024;18:00:00;121.655;121.660;121.510;121.565;1.759.812.326,00;72.371
WINFUT;30/12/2024;17:50:00;121.760;121.780;121.565;121.660;2.383.928.112,00;97.966
WINFUT;30/12/2024;17:40:00;121.710;121.795;121.650;121.755;2.774.673.071,00;113.976
WINFUT;30/12/2024;17:30:00;121.815;121.825;121.625;121.710;3.279.755.502,00;134.722
WINFUT;30/12/2024;17:20:00;121.770;121.995;121.735;121.820;3.862.103.836,00;158.447
WINFUT;30/12/2024;17:10:00;121.690;121.775;121.670;121.770;1.685.373.661,00;69.232
WINFUT;30/12/2024;17:00:00;121.695;121.765;121.660;121.695;2.490.697.626,00;102.312
WINFUT;30/12/2024;16:50:00;121.610;121.710;121.595;121.690;2.502.114.952,00;102.837
WINFUT;30/12/2024;16:40:00;121.630;121.700;121.535;121.605;2.660.981.439,00;109.398
WINFUT;30/12/2024;16:30:00;121.600;121.660;121.595;121.635;1.639.236.385,00;67.389
WINFUT;30/12/2024;16:20:00;121.670;121.725;121.595;121.600;2.235.678.619,00;91.886
WINFUT;30/12/2024;16:10:00;121.590;121.690;121.570;121.670;2.183.938.675,00;89.780
WINFUT;30/12/2024;16:00:00;121.640;121.735;121.565;121.585;3.220.522.101,00;132.365
WINFUT;30/12/2024;15:50:00;121.615;121.725;121.610;121.645;2.904.167.965,00;119.353
WINFUT;30/12/2024;15:40:00;121.560;121.655;121.560;121.615;2.341.897.862,00;96.282
WINFUT;30/12/2024;15:30:00;121.550;121.630;121.530;121.565;2.124.275.484,00;87.365
WINFUT;30/12/2024;15:20:00;121.560;121.625;121.545;121.550;1.801.902.116,00;74.100
WINFUT;30/12/2024;15:10:00;121.620;121.635;121.520;121.560;2.197.213.390,00;90.363
WINFUT;30/12/2024;15:00:00;121.570;121.625;121.505;121.625;2.001.708.484,00;82.331
WINFUT;30/12/2024;14:50:00;121.530;121.605;121.495;121.570;2.600.881.718,00;106.997
WINFUT;30/12/2024;14:40:00;121.475;121.650;121.430;121.530;4.163.438.185,00;171.270
WINFUT;30/12/2024;14:30:00;121.485;121.570;121.455;121.470;2.684.218.887,00;110.448
WINFUT;30/12/2024;14:20:00;121.555;121.640;121.455;121.485;3.173.947.876,00;130.559
WINFUT;30/12/2024;14:10:00;121.460;121.580;121.440;121.555;3.370.582.020,00;138.687
WINFUT;30/12/2024;14:00:00;121.480;121.625;121.435;121.460;5.870.294.921,00;241.516
WINFUT;30/12/2024;13:50:00;121.475;121.715;121.410;121.480;7.715.508.718,00;317.347
WINFUT;30/12/2024;13:40:00;121.570;121.625;121.470;121.470;3.252.278.131,00;133.775
WINFUT;30/12/2024;13:30:00;121.705;121.725;121.530;121.570;3.687.864.263,00;151.618
WINFUT;30/12/2024;13:20:00;121.530;121.735;121.505;121.705;3.655.603.877,00;150.296
WINFUT;30/12/2024;13:10:00;121.645;121.660;121.445;121.525;5.544.024.477,00;228.053
WINFUT;30/12/2024;13:00:00;121.665;121.795;121.575;121.645;5.555.237.853,00;228.259
WINFUT;30/12/2024;12:50:00;121.730;121.790;121.600;121.660;4.443.754.902,00;182.588
WINFUT;30/12/2024;12:40:00;121.790;121.820;121.695;121.735;3.399.181.728,00;139.598
WINFUT;30/12/2024;12:30:00;122.065;122.095;121.690;121.785;7.304.082.049,00;299.678
WINFUT;30/12/2024;12:20:00;121.990;122.150;121.980;122.060;5.715.093.692,00;234.115
WINFUT;30/12/2024;12:10:00;121.850;121.995;121.815;121.990;4.299.703.414,00;176.351
WINFUT;30/12/2024;12:00:00;121.765;121.910;121.740;121.845;5.053.635.901,00;207.406
WINFUT;30/12/2024;11:50:00;121.865;121.910;121.720;121.770;4.460.005.622,00;183.044
WINFUT;30/12/2024;11:40:00;121.865;121.940;121.755;121.865;5.512.577.783,00;226.205
WINFUT;30/12/2024;11:30:00;121.960;122.065;121.810;121.860;8.394.310.204,00;344.206
WINFUT;30/12/2024;11:20:00;121.980;122.010;121.895;121.960;3.169.238.224,00;129.933
WINFUT;30/12/2024;11:10:00;122.135;122.140;121.905;121.985;6.057.464.973,00;248.258
WINFUT;30/12/2024;11:00:00;122.035;122.240;121.995;122.135;5.728.977.255,00;234.515
WINFUT;30/12/2024;10:50:00;122.175;122.185;121.965;122.040;6.870.110.334,00;281.448
WINFUT;30/12/2024;10:40:00;122.305;122.410;122.030;122.180;9.305.758.815,00;380.762
WINFUT;30/12/2024;10:30:00;121.935;122.365;121.900;122.305;10.953.123.223,00;448.168
WINFUT;30/12/2024;10:20:00;121.765;122.020;121.685;121.935;7.433.143.039,00;304.987
WINFUT;30/12/2024;10:10:00;121.840;121.965;121.715;121.765;8.372.322.157,00;343.594
WINFUT;30/12/2024;10:00:00;121.855;121.895;121.705;121.840;7.295.733.212,00;299.475
WINFUT;30/12/2024;09:50:00;121.805;121.880;121.660;121.850;6.584.234.128,00;270.337
WINFUT;30/12/2024;09:40:00;121.750;121.910;121.725;121.805;5.528.233.779,00;226.917
WINFUT;30/12/2024;09:30:00;121.830;121.920;121.745;121.750;4.757.417.287,00;195.244
WINFUT;30/12/2024;09:20:00;121.690;121.875;121.655;121.830;4.425.487.540,00;181.722
WINFUT;30/12/2024;09:10:00;121.650;121.700;121.485;121.695;5.985.536.632,00;246.107
WINFUT;30/12/2024;09:00:00;121.505;121.785;121.445;121.645;7.143.262.656,00;293.597
WINFUT;27/12/2024;18:20:00;121.560;121.710;121.525;121.535;1.224.052.275,00;50.326
WINFUT;27/12/2024;18:10:00;121.375;121.585;121.340;121.560;1.851.038.170,00;76.215
WINFUT;27/12/2024;18:00:00;121.440;121.520;121.305;121.370;2.676.354.337,00;110.218
WINFUT;27/12/2024;17:50:00;121.525;121.565;121.355;121.440;3.411.477.660,00;140.427
WINFUT;27/12/2024;17:40:00;121.500;121.635;121.440;121.525;3.799.460.223,00;156.310
WINFUT;27/12/2024;17:30:00;121.700;121.710;121.480;121.500;3.074.832.068,00;126.447
WINFUT;27/12/2024;17:20:00;121.620;121.755;121.615;121.695;3.134.462.493,00;128.785
WINFUT;27/12/2024;17:10:00;121.650;121.685;121.540;121.625;3.022.375.325,00;124.262
WINFUT;27/12/2024;17:00:00;121.550;121.675;121.545;121.650;3.247.862.166,00;133.528
WINFUT;27/12/2024;16:50:00;121.565;121.570;121.495;121.555;1.871.282.691,00;76.984
WINFUT;27/12/2024;16:40:00;121.560;121.570;121.455;121.560;3.285.547.799,00;135.197
WINFUT;27/12/2024;16:30:00;121.670;121.670;121.550;121.555;2.371.875.854,00;97.525
WINFUT;27/12/2024;16:20:00;121.640;121.690;121.550;121.665;2.704.596.898,00;111.198
WINFUT;27/12/2024;16:10:00;121.575;121.665;121.520;121.640;2.963.682.397,00;121.875
WINFUT;27/12/2024;16:00:00;121.620;121.630;121.505;121.580;3.781.502.866,00;155.540
WINFUT;27/12/2024;15:50:00;121.755;121.760;121.585;121.625;3.161.900.023,00;129.949
WINFUT;27/12/2024;15:40:00;121.720;121.765;121.635;121.760;3.232.730.404,00;132.811
WINFUT;27/12/2024;15:30:00;121.770;121.860;121.675;121.715;4.248.954.222,00;174.472
WINFUT;27/12/2024;15:20:00;121.890;121.910;121.745;121.770;3.438.120.229,00;141.127
WINFUT;27/12/2024;15:10:00;121.960;121.965;121.845;121.895;3.508.709.929,00;143.912
WINFUT;27/12/2024;15:00:00;121.915;122.030;121.910;121.960;3.666.223.042,00;150.284
WINFUT;27/12/2024;14:50:00;121.810;121.975;121.785;121.920;4.501.614.683,00;184.634
WINFUT;27/12/2024;14:40:00;121.800;121.865;121.740;121.810;2.781.924.879,00;114.204
WINFUT;27/12/2024;14:30:00;121.820;121.870;121.760;121.805;3.495.267.634,00;143.469
WINFUT;27/12/2024;14:20:00;121.820;121.930;121.810;121.825;2.917.615.353,00;119.702
WINFUT;27/12/2024;14:10:00;121.965;122.000;121.810;121.820;3.542.470.941,00;145.280
WINFUT;27/12/2024;14:00:00;121.965;121.995;121.905;121.970;2.545.226.534,00;104.348
WINFUT;27/12/2024;13:50:00;122.160;122.180;121.865;121.960;5.630.582.165,00;230.778
WINFUT;27/12/2024;13:40:00;122.080;122.230;122.070;122.165;3.119.097.032,00;127.659
WINFUT;27/12/2024;13:30:00;122.120;122.150;122.025;122.080;2.382.234.746,00;97.580
WINFUT;27/12/2024;13:20:00;122.095;122.205;122.030;122.115;3.239.910.319,00;132.647
WINFUT;27/12/2024;13:10:00;122.040;122.095;122.000;122.090;2.205.906.983,00;90.376
WINFUT;27/12/2024;13:00:00;122.105;122.135;122.005;122.035;2.896.155.781,00;118.625
WINFUT;27/12/2024;12:50:00;122.145;122.180;122.030;122.100;4.264.845.403,00;174.668
WINFUT;27/12/2024;12:40:00;122.315;122.360;122.125;122.150;5.131.877.275,00;209.880
WINFUT;27/12/2024;12:30:00;122.055;122.330;122.050;122.320;4.709.465.464,00;192.738
WINFUT;27/12/2024;12:20:00;121.985;122.170;121.935;122.060;6.602.973.860,00;270.505
WINFUT;27/12/2024;12:10:00;122.180;122.185;121.950;121.985;6.025.287.303,00;246.806
WINFUT;27/12/2024;12:00:00;122.330;122.330;122.085;122.180;6.991.082.680,00;286.053
WINFUT;27/12/2024;11:50:00;122.635;122.635;122.300;122.325;6.057.368.978,00;247.295
WINFUT;27/12/2024;11:40:00;122.485;122.665;122.380;122.630;6.558.227.430,00;267.598
WINFUT;27/12/2024;11:30:00;122.105;122.515;122.065;122.490;8.906.362.102,00;364.021
WINFUT;27/12/2024;11:20:00;122.205;122.245;122.065;122.100;4.591.833.607,00;187.940
WINFUT;27/12/2024;11:10:00;122.245;122.255;122.065;122.205;4.781.724.810,00;195.709
WINFUT;27/12/2024;11:00:00;122.070;122.305;122.065;122.240;6.498.875.433,00;265.901
WINFUT;27/12/2024;10:50:00;122.165;122.260;122.025;122.075;8.485.473.437,00;347.382
WINFUT;27/12/2024;10:40:00;122.585;122.665;122.130;122.165;9.620.878.035,00;393.008
WINFUT;27/12/2024;10:30:00;122.695;122.745;122.560;122.585;5.147.074.292,00;209.825
WINFUT;27/12/2024;10:20:00;122.660;122.835;122.590;122.695;7.957.509.019,00;324.226
WINFUT;27/12/2024;10:10:00;122.890;123.005;122.550;122.660;10.993.845.753,00;447.741
WINFUT;27/12/2024;10:00:00;122.975;123.075;122.885;122.890;6.840.519.019,00;278.080
WINFUT;27/12/2024;09:50:00;123.020;123.040;122.880;122.975;4.570.515.720,00;185.872
WINFUT;27/12/2024;09:40:00;122.780;123.050;122.770;123.025;6.837.576.678,00;278.143
WINFUT;27/12/2024;09:30:00;122.735;122.900;122.660;122.785;7.506.036.242,00;305.657
WINFUT;27/12/2024;09:20:00;122.445;122.800;122.320;122.730;8.926.512.431,00;364.143
WINFUT;27/12/2024;09:10:00;122.315;122.475;122.210;122.450;7.067.250.114,00;288.775
WINFUT;27/12/2024;09:00:00;122.505;122.635;122.290;122.310;8.539.653.613,00;348.769
WINFUT;26/12/2024;18:20:00;122.585;122.640;122.515;122.640;587.403.637,00;23.961
WINFUT;26/12/2024;18:10:00;122.550;122.635;122.540;122.585;1.391.964.259,00;56.773
WINFUT;26/12/2024;18:00:00;122.580;122.670;122.495;122.550;2.585.282.937,00;105.460
WINFUT;26/12/2024;17:50:00;122.415;122.640;122.405;122.585;3.556.455.829,00;145.158
WINFUT;26/12/2024;17:40:00;122.500;122.515;122.355;122.415;3.805.152.677,00;155.392
WINFUT;26/12/2024;17:30:00;122.660;122.660;122.475;122.505;2.439.219.969,00;99.498
