Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;29/12/2022;18:15:00;111.080;111.235;111.035;111.035;1.359.472.617,00;61.166
WINFUT;29/12/2022;18:00:00;111.420;111.420;110.880;111.080;6.115.989.159,87;275.249
WINFUT;29/12/2022;17:45:00;111.640;111.665;111.375;111.420;4.340.041.168,98;194.644
WINFUT;29/12/2022;17:30:00;111.540;111.680;111.470;111.640;3.300.403.263,65;147.910
WINFUT;29/12/2022;17:15:00;111.480;111.615;111.415;111.540;3.160.548.343,52;141.679
WINFUT;29/12/2022;17:00:00;111.500;111.605;111.410;111.480;4.153.001.237,12;186.216
WINFUT;29/12/2022;16:45:00;111.470;111.545;111.335;111.505;3.663.902.196,03;164.419
WINFUT;29/12/2022;16:30:00;111.440;111.530;111.350;111.465;4.888.847.797,09;219.356
WINFUT;29/12/2022;16:15:00;111.595;111.650;111.380;111.435;4.325.539.673,67;193.945
WINFUT;29/12/2022;16:00:00;111.455;111.650;111.375;111.595;5.067.958.034,57;227.186
WINFUT;29/12/2022;15:45:00;111.480;111.520;111.250;111.460;4.759.064.689,07;213.626
WINFUT;29/12/2022;15:30:00;111.445;111.520;111.340;111.480;4.426.274.429,22;198.615
WINFUT;29/12/2022;15:15:00;111.620;111.670;111.285;111.450;6.958.337.199,51;312.168
WINFUT;29/12/2022;15:00:00;111.450;111.725;111.415;111.625;6.815.801.506,42;305.402
WINFUT;29/12/2022;14:45:00;111.360;111.470;111.305;111.450;5.632.381.754,10;252.813
WINFUT;29/12/2022;14:30:00;111.235;111.375;111.035;111.355;9.379.538.837,45;421.690
WINFUT;29/12/2022;14:15:00;111.410;111.725;111.155;111.230;11.374.655.222,74;510.385
WINFUT;29/12/2022;14:00:00;111.840;111.990;111.395;111.405;7.613.459.431,71;340.648
WINFUT;29/12/2022;13:45:00;111.925;112.045;111.770;111.840;7.285.346.751,73;325.502
WINFUT;29/12/2022;13:30:00;111.860;112.115;111.855;111.925;5.539.587.977,10;247.323
WINFUT;29/12/2022;13:15:00;111.805;112.040;111.675;111.860;7.001.412.449,60;312.919
WINFUT;29/12/2022;13:00:00;111.715;111.915;111.575;111.805;7.690.775.836,68;344.161
WINFUT;29/12/2022;12:45:00;111.780;111.945;111.585;111.715;7.803.304.070,24;349.080
WINFUT;29/12/2022;12:30:00;111.890;112.000;111.605;111.780;10.049.474.358,24;449.344
WINFUT;29/12/2022;12:15:00;112.055;112.200;111.875;111.885;7.682.029.658,22;342.843
WINFUT;29/12/2022;12:00:00;111.995;112.255;111.875;112.055;10.553.791.970,23;470.797
WINFUT;29/12/2022;11:45:00;111.990;112.170;111.760;111.995;14.618.144.230,64;652.706
WINFUT;29/12/2022;11:30:00;112.460;112.620;111.960;111.990;12.960.610.181,24;576.946
WINFUT;29/12/2022;11:15:00;112.100;112.480;112.055;112.460;10.005.548.883,11;445.492
WINFUT;29/12/2022;11:00:00;112.445;112.540;111.960;112.100;13.151.086.665,17;586.071
WINFUT;29/12/2022;10:45:00;112.590;112.655;112.230;112.440;10.750.435.910,20;478.085
WINFUT;29/12/2022;10:30:00;112.585;112.810;112.480;112.590;10.066.000.773,64;446.787
WINFUT;29/12/2022;10:15:00;112.350;112.715;112.310;112.585;10.966.249.886,54;487.234
WINFUT;29/12/2022;10:00:00;112.665;112.700;112.260;112.350;12.130.270.923,10;539.441
WINFUT;29/12/2022;09:45:00;112.625;112.755;112.420;112.665;10.100.115.562,42;448.534
WINFUT;29/12/2022;09:30:00;112.685;112.850;112.475;112.630;9.557.066.370,38;424.027
WINFUT;29/12/2022;09:15:00;112.470;112.720;112.365;112.690;7.888.589.352,04;350.385
WINFUT;29/12/2022;09:00:00;112.080;112.730;111.975;112.470;10.518.916.713,30;467.525
WINFUT;28/12/2022;18:15:00;112.220;112.290;112.100;112.235;1.755.398.228,51;78.231
WINFUT;28/12/2022;18:00:00;112.000;112.245;111.965;112.220;3.547.933.526,96;158.240
WINFUT;28/12/2022;17:45:00;111.980;112.100;111.950;112.000;3.547.032.453,11;158.302
WINFUT;28/12/2022;17:30:00;111.985;112.075;111.885;111.985;4.692.127.833,03;209.504
WINFUT;28/12/2022;17:15:00;111.910;112.025;111.845;111.990;4.616.982.601,82;206.226
WINFUT;28/12/2022;17:00:00;111.940;111.985;111.830;111.910;3.926.554.991,64;175.460
WINFUT;28/12/2022;16:45:00;112.060;112.105;111.910;111.940;3.491.160.639,28;155.853
WINFUT;28/12/2022;16:30:00;112.015;112.185;111.950;112.055;6.123.525.190,89;273.276
WINFUT;28/12/2022;16:15:00;111.900;112.100;111.850;112.015;6.696.264.748,41;298.972
WINFUT;28/12/2022;16:00:00;111.825;112.015;111.775;111.900;6.974.581.366,71;311.743
WINFUT;28/12/2022;15:45:00;111.785;111.950;111.730;111.825;6.690.552.638,52;299.118
WINFUT;28/12/2022;15:30:00;112.065;112.070;111.745;111.790;7.157.303.259,37;319.846
WINFUT;28/12/2022;15:15:00;112.025;112.160;111.830;112.070;8.284.337.847,80;369.836
WINFUT;28/12/2022;15:00:00;111.920;112.110;111.825;112.025;9.873.565.132,08;440.867
WINFUT;28/12/2022;14:45:00;111.575;112.025;111.530;111.920;9.801.323.202,35;438.470
WINFUT;28/12/2022;14:30:00;111.600;111.690;111.480;111.575;6.000.181.784,37;268.863
WINFUT;28/12/2022;14:15:00;111.405;111.630;111.285;111.600;7.272.000.077,25;326.254
WINFUT;28/12/2022;14:00:00;111.485;111.695;111.365;111.405;9.224.562.875,13;413.615
