Data;Abertura;Máxima;Mínima;Fechamento;Prior Cote;Pivot;Média Móvel A [9];Média Móvel A [21];Média Móvel A [50];Média Móvel A [200];VWAP D;2MV Frequências;IFR (RSI) [14];;
16/05/2025 18:15;140455;140480;140250;140325;141039;140605;140532,22;140465,24;140284,7;139873,78;139899,52;141075;47,93;;
16/05/2025 18:00;140465;140500;140450;140450;141039;140605;140568,89;140450,95;140283,4;139863,6;139897,28;141075;52,55;;
16/05/2025 17:45;140500;140520;140410;140470;141039;140605;140596,67;140421,19;140280,7;139853,08;139895,5;141075;53,32;;
16/05/2025 17:30;140525;140605;140465;140500;141039;140605;140613,33;140390,24;140275,1;139842,78;139891,57;141075;54,42;;
16/05/2025 17:15;140695;140730;140510;140530;141039;140605;140607,22;140354,05;140272,6;139831,65;139886,99;141075;55,48;;
16/05/2025 17:00;140700;140735;140625;140700;141039;140605;140597,78;140304,29;140270,2;139820,38;139877,9;141075;61,86;;
16/05/2025 16:45;140560;140740;140515;140705;141039;140605;140561,67;140242,38;140268,8;139807,38;139869,77;141075;62,05;;
16/05/2025 16:30;140545;140640;140490;140560;141039;140605;140546,11;140173,1;140269,4;139794,38;139856,14;141075;58,54;;
16/05/2025 16:15;140650;140660;140515;140550;141039;140605;140535,56;140115,95;140275,5;139782,53;139842,55;141075;58,29;;
16/05/2025 16:00;140700;140815;140615;140655;141039;140605;140509,44;140070,24;140283,1;139770,78;139829,46;141075;61,89;;
16/05/2025 15:45;140620;140850;140615;140700;141039;140605;140455;140034,52;140288;139758,95;139811,85;141075;63,45;;
16/05/2025 15:30;140445;140695;140415;140620;141039;140605;140403,33;139969,52;140286,5;139746,92;139788,8;141075;61,86;;
16/05/2025 15:15;140440;140515;140390;140445;141039;140605;140333,89;139913,57;140284,3;139735,15;139769,9;141075;58,18;;
16/05/2025 15:00;140380;140570;140350;140445;141039;140605;140287,22;139873,1;140286,2;139724,85;139757,93;141075;58,18;;
16/05/2025 14:45;140565;140575;140245;140375;141039;140605;140218,33;139829,29;140283;139714,75;139740,81;141075;56,73;;
