Data;Abertura;Máxima;Mínima;Fechamento;Prior Cote;Média Móvel A [9];Média Móvel A [21];Média Móvel A [50];Média Móvel A [200];VWAP D;IFR (RSI) [14];
20/05/2025 18:20;141505;141525;141470;141500;141107;141495;141508,33;141198,1;141160,9;140955,05;57,85;
20/05/2025 18:15;141470;141510;141420;141505;141107;141487,22;141505,48;141188,9;141158,58;140954,39;58,3;
20/05/2025 18:10;141460;141490;141440;141470;141107;141482,22;141501,19;141180,4;141156,45;140953,33;56,08;
20/05/2025 18:05;141485;141510;141460;141460;141107;141482,22;141497,86;141171,8;141154,15;140952,47;55,45;
20/05/2025 18:00;141475;141505;141455;141490;141107;141477,78;141500,48;141164,3;141150,67;140951,96;57,76;
20/05/2025 17:55;141570;141580;141465;141480;141107;141478,33;141484,05;141155,5;141146,75;140951,19;57,2;
20/05/2025 17:50;141500;141600;141500;141575;141107;141482,78;141465,48;141147,6;141141,4;140949,43;64,64;
20/05/2025 17:45;141480;141520;141460;141500;141107;141478,33;141438,33;141139,1;141135,65;140947,42;60,92;
20/05/2025 17:40;141430;141490;141425;141475;141107;141483,33;141413,33;141128,8;141130,13;140946,23;59,6;
20/05/2025 17:35;141460;141460;141415;141430;141107;141504,44;141391,43;141118,5;141123,4;140945,03;57,19;
20/05/2025 17:30;141470;141480;141420;141460;141107;141526,11;141367,14;141110,4;141117,67;140944,33;59,38;
20/05/2025 17:25;141425;141480;141415;141470;141107;141533,89;141339,52;141100,4;141111,8;140943,4;60,1;
20/05/2025 17:20;141495;141500;141415;141420;141107;141540;141309,76;141088,8;141105,6;140942,21;57,74;
20/05/2025 17:15;141520;141565;141495;141495;141107;141542,22;141284,29;141075;141099,7;140940,15;62,92;
20/05/2025 17:10;141535;141540;141455;141520;141107;141533,33;141247,62;141060,5;141094,08;140938,07;64,72;
20/05/2025 17:05;141540;141570;141505;141535;141107;141520;141206,9;141045,9;141087,48;140935,82;65,76;
20/05/2025 17:00;141660;141665;141505;141545;141107;141517,78;141171,9;141031;141080,83;140934,25;66,43;
20/05/2025 16:55;141630;141680;141610;141665;141107;141473,33;141133,57;141015,3;141074,08;140929,5;74,86;
20/05/2025 16:50;141530;141730;141510;141625;141107;141409,44;141091,67;140996,9;141066,35;140926,09;73,84;
20/05/2025 16:45;141525;141560;141475;141530;141107;141340,56;141058,1;140980,2;141059,03;140915,98;71,24;
20/05/2025 16:40;141445;141545;141430;141525;141107;141278,89;141030,95;140965,6;141052,45;140912,13;71,1;
